
卫视直播,#genre#
CCTV1综合,http://111.40.196.9/PLTV/88888888/224/3221225548/index.m3u8
CCTV2财经,http://wtv.weetai.cn/iptv/2022/tyzb01.php?id=cctv2hd
cctv3综艺,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv3hd/2300000/mnf.m3u8
CCTV4国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV5体育,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV5+体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV6电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV7军农,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv7/1300000/mnf.m3u8
CCTV8电视剧,http://39.135.138.58:18890/PLTV/88888888/224/3221225631/index.m3u8
CCTV9纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8
CCTV10科技,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv10hd/4000000/mnf.m3u8
CCTV11戏曲,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv11/1300000/mnf.m3u8
CCTV12社会与法,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv12/1300000/mnf.m3u8
CCTV13新闻,http://111.40.196.30/PLTV/88888888/224/3221225504/index.m3u8
CCTV14少儿,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctvsehd/4000000/mnf.m3u8
CCTV15音乐,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctvyy/1300000/mnf.m3u8
CCTV17农村,http://39.135.138.58:18890/PLTV/88888888/224/3221225641/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
东方卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hddfws/2300000/mnf.m3u8
湖南卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/hnwshd/2300000/mnf.m3u8
江苏卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jswshd/2300000/mnf.m3u8
环球资讯广播,http://live.xmcdn.com/live/1040/64.m3u8
中文环球广播,http://live.xmcdn.com/live/1043/64.m3u8
中国之声,http://ls.qingting.fm/live/386.m3u8

龙珠,#genre#
小榴莲吖,http://sub1.tc.live.myhug.cn/live/6b93cbdbc41ccc30a30e6982.flv?txSecret=53e8e2cd416ff9bcd1285328ff8238e1&txTime=6303223A
冉冉%3F%3F,https://jyh8.oss-cn-beijing.aliyuncs.com/IMG_1160.MP4
温温温思瑶%3F%3F,http://sub1.tc.live.myhug.cn/live/2969c83e18fea6d452507a82.flv?txSecret=f5dd619560987c37375ef1135e98332d&txTime=6303223A
%253F%253F,https://jyh8.oss-cn-beijing.aliyuncs.com/video_2022-08-21_20-41-40.mp4
是荔荔吖！,http://sub1.tc.live.myhug.cn/live/2a03d80fceea7b49f73e9181.flv?txSecret=469e89ff45fbb11837c70955c94c7103&txTime=6303223A
妍小姨%3F%3F,http://wefew.13352.cn/live/699_Kfb8d43aa99f9fae1b06.flv
悦儿。,http://sub1.tc.live.myhug.cn/live/385bcfabd7ef8063b4138c81.flv?txSecret=6570ab565f3d598e00d2e98fce1c6a24&txTime=6303223A
夏%3F%3F,http://sub1.tc.live.myhug.cn/live/ba7ea02d879ab3d0afdc7382.flv?txSecret=f9c5251002d1e0fe8f40ded3087c686b&txTime=6303223A
安琪,http://sub1.tc.live.myhug.cn/live/0e27e628bc75f28f022c6682.flv?txSecret=a5b40842af8f5ddd4c75a359e0bed063&txTime=6303223A
热水瓶,http://sub1.tc.live.myhug.cn/live/1f6604e5aae98b2dd0326a82.flv?txSecret=7c6e187f2f0c5e088fdd9f0409d481d5&txTime=6303223A
哥哥快来操逼逼啊,rtmp://dat01.jshfgy.cn/liveg/15894_1661060101
进口幼女,rtmp://dat01.jshfgy.cn/liveg/15899_1661127938
爆艹女同学,rtmp://dat01.jshfgy.cn/liveg/15790_1661147171
兄弟老婆淫乱4p,rtmp://dat01.jshfgy.cn/liveg/15859_1661149766
小鱼干,http://topse.xldkpjh.info/live/082201_x264_batch.flv
莹莹呀,http://sub1.tc.live.myhug.cn/live/e2de9cd394ef342052ba7182.flv?txSecret=e393775768222a00e5e721808398e8ba&txTime=6303223A
%3F莫莫,http://sub1.tc.live.myhug.cn/live/a1aeb9f92f47f70c95d99381.flv?txSecret=57bcfc9c7cb727c598cf010086d71336&txTime=6303223A
淇宝,http://sub1.tc.live.myhug.cn/live/ab49f4e62d9cfd2136179d81.flv?txSecret=093b58f4cd1a8b1ea6e70b7a2b16848e&txTime=6303223A
雪儿%3F%3F,http://sub1.tc.live.myhug.cn/live/5aaffa44f4354f33a1918581.flv?txSecret=f24e6564ae9aacb3693b54b4ffac3b09&txTime=6303223A
粥粥baby,http://sub1.tc.live.myhug.cn/live/fb42701066d7e4d8972f6b82.flv?txSecret=f2ffbd0187a9682ef0cb7909fc6ea2a4&txTime=6303223A
性感不是骚,rtmp://dat01.jshfgy.cn/liveg/15898_1661127877
手机用户2583,rtmp://dat01.jshfgy.cn/liveg/15890_1661019115
约单位少妇车震,rtmp://dat01.jshfgy.cn/liveg/15895_1661092822
悠悠球,http://topse.xldkpjh.info/live/082202_x264_batch.flv

映客,#genre#
Tina,http://live-pull-zego.inke.cn/inkemain/1661145302733220.flv?stream_id=1661145302733220&stream_type=zego&codecInfo=8192&ikFastRate=1.1&ikMaxBuf=3600&ikMinBuf=2900&ikHost=ws&ikNetOp=01111&ikSlowRate=0.9&wsSecret=ecd9bf0027b93c18205b6d5512292c0d&wsABStime=63046256
Uuuuuuuu%253F%253F,https://jyh8.oss-cn-beijing.aliyuncs.com/IMG_1160.MP4
%253F%253FSan.Qian.Jin.%253F,http://live-pull-zego.inke.cn/inkemain/1661146876818410.flv?stream_id=1661146876818410&stream_type=zego&codecInfo=8192&ikFastRate=1.1&ikMaxBuf=3600&ikMinBuf=2900&ikHost=ws&ikNetOp=01111&ikSlowRate=0.9&wsSecret=c102c24b4e95b32244957f26ee0950e8&wsABStime=6304687c
我是杜拉拉%3F%3F,https://jyh8.oss-cn-beijing.aliyuncs.com/video_2022-08-21_20-41-40.mp4
17吃草莓%3F%3F,http://live-pull-zego.inke.cn/inkemain/1661148768614833.flv?stream_id=1661148768614833&stream_type=zego&codecInfo=8192&ikFastRate=1.1&ikMaxBuf=3600&ikMinBuf=2900&ikHost=ws&ikNetOp=01111&ikSlowRate=0.9&wsSecret=1ec4bd9c6fe983299499d956ad7341e2&wsABStime=63046fe0
%3F%3FJ浩%3F%3F,http://wefew.13352.cn/live/699_Kfb8d43aa99f9fae1b06.flv
娜娜%3F,http://live-pull-zego.inke.cn/inkemain/1661143034248943.flv?stream_id=1661143034248943&stream_type=zego&codecInfo=8192&ikFastRate=1.1&ikMaxBuf=3600&ikMinBuf=2900&ikHost=ws&ikNetOp=01111&ikSlowRate=0.9&wsSecret=3930740189e56e13bf560eedcb6fdaa5&wsABStime=6304597a
%3F%3F奔跑吧，超级大白白【独立团】,http://live-pull-zego.inke.cn/inkemain/1661148917457885.flv?stream_id=1661148917457885&stream_type=zego&codecInfo=8192&ikFastRate=1.1&ikMaxBuf=3600&ikMinBuf=2900&ikHost=ws&ikNetOp=01111&ikSlowRate=0.9&wsSecret=2643d1606d6d5a1eb98fa7cbe5bd8090&wsABStime=63047075
话梅%3F%3F,http://live-pull-zego.inke.cn/inkemain/1661149389149137.flv?stream_id=1661149389149137&stream_type=zego&codecInfo=8192&ikFastRate=1.1&ikMaxBuf=3600&ikMinBuf=2900&ikHost=ws&ikNetOp=01111&ikSlowRate=0.9&wsSecret=664696a5f7aaea6570880e2b562ce859&wsABStime=6304724d
欧小尼%3F%3F%3F%3F%3F♀%3F,http://live-pull-zego.inke.cn/inkemain/1661146556615715.flv?stream_id=1661146556615715&stream_type=zego&codecInfo=8192&ikFastRate=1.1&ikMaxBuf=3600&ikMinBuf=2900&ikHost=ws&ikNetOp=01111&ikSlowRate=0.9&wsSecret=31ecfbf49725c91fce46c7c11e53a365&wsABStime=6304673c
哥哥快来操逼逼啊,rtmp://dat01.jshfgy.cn/liveg/15894_1661060101
进口幼女,rtmp://dat01.jshfgy.cn/liveg/15899_1661127938
爆艹女同学,rtmp://dat01.jshfgy.cn/liveg/15790_1661147171
兄弟老婆淫乱4p,rtmp://dat01.jshfgy.cn/liveg/15859_1661149766
大浪交友厅,http://topse.xldkpjh.info/live/082201_x264_batch.flv
%3F%3F火伴②厅【交友厅】%3F%3F,http://extlive-pull-ws.inke.cn/live/1661130224248223.flv?auth_version=1&codecInfo=8192&dpSrc=-1&from=hallfe&ikDnsOp=1&ikHost=ws&ikLiveType=multiplayer&ikLog=1&ikNetOp=01111&ikOp=0&md5sum=8d36&pushHost=ext.zego.link.inke.cn&timestamp=1661149965
baby倩,http://live-pull-zego.inke.cn/inkemain/1661143692420118.flv?stream_id=1661143692420118&stream_type=zego&codecInfo=8192&ikFastRate=1.1&ikMaxBuf=3600&ikMinBuf=2900&ikHost=ws&ikNetOp=01111&ikSlowRate=0.9&wsSecret=47a7f16566497f198fe2b874a1091c34&wsABStime=63045c0c

卡哇伊,#genre#
桃旺宝,http://pull.58hsjf.com/live/cx_10601.flv
欲望女孩g,https://jyh8.oss-cn-beijing.aliyuncs.com/IMG_1160.MP4
桃汁腰妖,http://03b.ruiwenzhitong.com/live/cx_352540.flv
美爱爱g,https://jyh8.oss-cn-beijing.aliyuncs.com/video_2022-08-21_20-41-40.mp4
东南亚黄学院,http://awnda.dianfenglanqiu.cn/live/cx_359578.flv
茶妹妹,http://wefew.13352.cn/live/699_Kfb8d43aa99f9fae1b06.flv
混血美少女战士@,http://pull.2shoumi.com/live/cx_10235.flv
莱尔,http://bbb.yulong001.top/live/cx_13126.flv
蜜桃加冰,http://l5.iiun666.cn/live/cx_16125.flv
奶糖2,http://bter.widtb.cn/live/cx_7403.flv
哥哥快来操逼逼啊,rtmp://dat01.jshfgy.cn/liveg/15894_1661060101
进口幼女,rtmp://dat01.jshfgy.cn/liveg/15899_1661127938
爆艹女同学,rtmp://dat01.jshfgy.cn/liveg/15790_1661147171
兄弟老婆淫乱4p,rtmp://dat01.jshfgy.cn/liveg/15859_1661149766
暮暮啊,http://topse.xldkpjh.info/live/082201_x264_batch.flv
米雪,http://01b.expo-hf.com/live/cx_359600.flv
冰淇淋女孩,http://awnda.dianfenglanqiu.cn/live/cx_360406.flv
小明,http://lhuan.huahai58.com/live/cx_360413.flv
